,time,low,high,open,close,volume
202,1605830400,17764.76,18830.3,17821.92,18675.25,17901.931678
203,1605916800,18350.0,18980.0,18677.84,18721.21,13604.27139959
204,1606003200,17610.77,18773.56,18721.21,18437.66,15423.83816127
205,1606089600,18001.0,18777.77,18437.18,18384.82,17655.66362172
206,1606176000,18052.02,19469.0,18384.82,19172.84,26623.09452709
207,1606262400,18502.0,19500.0,19172.9,18721.93,20485.39373121
208,1606348800,16200.0,18915.48,18717.24,17170.0,48644.17078197
209,1606435200,16400.0,17475.0,17169.99,17153.95,23333.98429789
210,1606521600,16880.0,17933.25,17155.43,17739.85,13157.9519653
211,1606608000,17535.26,18359.0,17736.1,18202.04,8932.25029132
212,1606694400,18201.47,19873.23,18202.02,19713.94,27293.4791942
213,1606780800,18109.0,19915.14,19713.94,18782.97,30442.86543674
214,1606867200,18335.0,19340.0,18778.18,19225.63,16227.13637423
215,1606953600,18885.0,19625.64,19222.45,19448.64,14648.29683367
216,1607040000,18576.05,19546.46,19446.43,18658.1,16382.87739223
217,1607126400,18501.0,19189.98,18658.09,19158.96,7082.22230272
218,1607212800,18878.0,19430.25,19158.96,19375.6,6665.28189472
219,1607299200,18901.0,19432.57,19375.6,19177.71,8977.45166263
220,1607385600,18200.0,19299.51,19177.08,18316.22,15161.86263318
221,1607472000,17639.0,18647.33,18316.22,18546.55,20667.36635634
222,1607558400,17905.0,18556.42,18546.55,18253.44,14899.20296937
223,1607644800,17580.0,18293.08,18257.18,18042.15,16953.63356031
224,1607731200,18023.57,18955.34,18044.19,18821.28,8616.1725039
225,1607817600,18730.0,19421.03,18821.28,19166.65,10624.20069187
226,1607904000,18967.68,19349.98,19166.65,19272.37,9102.36972564
227,1607990400,19051.27,19565.0,19272.37,19444.6,15345.21212651
228,1608076800,19300.0,21569.94,19443.19,21359.65,33350.23500216
229,1608163200,21252.01,23776.94,21360.5,22826.48,53602.34952384
230,1608249600,22329.0,23280.0,22826.37,23137.76,24829.23581848
231,1608336000,22770.0,24200.0,23138.89,23849.99,20577.66441198
232,1608422400,23100.0,24300.0,23850.0,23476.51,14963.41787144
233,1608508800,21913.84,24118.75,23476.51,22729.4,25728.63855953
234,1608595200,22380.05,23839.78,22729.4,23823.27,18597.6512303
235,1608681600,22600.0,24090.0,23824.13,23228.35,23412.12172023
236,1608768000,22712.89,23785.0,23226.18,23717.96,16440.75295146
237,1608854400,23416.0,24770.95,23718.61,24704.71,15792.47583445
238,1608940800,24490.01,26822.0,24704.71,26475.35,24782.44015598
239,1609027200,25772.55,28387.0,26482.64,26258.65,33627.00745897
240,1609113600,26086.19,27477.0,26255.16,27040.36,21265.70934972
241,1609200000,25833.73,27396.77,27039.39,27366.35,20668.10433798
242,1609286400,27311.73,29018.26,27366.35,28897.42,28181.49681491
243,1609372800,28000.0,29321.9,28897.42,28990.08,28813.88691084
244,1609459200,28700.0,29688.88,28990.08,29412.84,22211.25251806
245,1609545600,29039.0,33300.0,29413.29,32225.91,46675.24652146
246,1609632000,32008.62,34810.0,32222.88,33080.66,36951.71650628
247,1609718400,27678.0,33666.99,33082.84,32019.99,46045.38968508
248,1609804800,29891.13,34499.67,32020.22,34030.64,42282.56920027
249,1609891200,33352.54,37000.0,34043.91,36859.26,45744.10320015
250,1609977600,36200.0,40425.0,36859.26,39505.56,50346.30569052
251,1610064000,36565.08,41986.37,39510.55,40665.15,48522.48490272
252,1610150400,38800.0,41406.94,40642.15,40257.43,27152.97102881
253,1610236800,34444.0,41452.12,40257.43,38171.57,43736.57031589
254,1610323200,30100.0,38273.88,38168.89,35452.59,102503.15672849
255,1610409600,32500.0,36604.51,35456.89,34038.98,48227.62752035
256,1610496000,32309.04,37888.0,34035.53,37393.66,39608.73718747
257,1610582400,36751.11,40127.66,37393.67,39125.14,31868.76049365
258,1610668800,34298.93,39697.0,39123.05,36754.67,36421.05918785
259,1610755200,35372.59,37948.0,36754.6,36006.94,20861.42545209
260,1610841600,33850.03,36860.0,36004.8,35820.0,19182.04934663
261,1610928000,34736.46,37402.0,35820.01,36624.23,16609.64108414
262,1611014400,35895.11,37857.0,36624.23,35917.28,18904.77910604
263,1611100800,33387.01,36415.34,35921.91,35503.09,25445.70800774
264,1611187200,30011.0,35628.24,35498.85,30855.95,50473.11375071
265,1611273600,28732.0,33867.0,30855.9,32984.93,48155.72161708
266,1611360000,31432.19,33488.79,32982.66,32112.01,16139.81478284
267,1611446400,30931.21,33086.53,32110.0,32288.56,13618.80097809
268,1611532800,31920.8,34888.0,32293.18,32261.87,23045.66293389
269,1611619200,30830.0,32960.37,32260.52,32510.82,23535.83891688
270,1611705600,29156.0,32584.62,32510.82,30407.13,46207.08537355
271,1611792000,29902.14,34000.0,30414.11,33488.99,36007.06269488
272,1611878400,31990.0,38570.13,33487.92,34262.11,72641.07974951
273,1611964800,32852.86,34900.0,34262.11,34315.63,21362.15173754
274,1612051200,32200.0,34387.75,34315.63,33137.74,16436.39757593
275,1612137600,32333.0,34728.57,33137.75,33533.19,21975.41378272
276,1612224000,33450.0,36000.0,33534.39,35512.67,19995.83908338
277,1612310400,35393.8,37723.72,35513.0,37678.37,23781.96945181
278,1612396800,36156.45,38769.0,37688.42,36975.0,31699.36292316
279,1612483200,36605.87,38349.0,36976.59,38311.49,17842.70173175
280,1612569600,38250.0,41000.0,38327.09,39265.43,27102.80602941
281,1612656000,37371.35,39737.83,39266.1,38871.42,20297.87256102
282,1612742400,38057.01,46750.0,38871.43,46448.1,47934.0103883
283,1612828800,45020.0,48200.0,46453.66,46514.73,36418.79365116
284,1612915200,43706.86,47349.99,46514.73,44850.0,25818.01157857
285,1613001600,44011.0,48690.0,44850.0,47997.91,26222.60477552
286,1613088000,46300.0,48912.0,47993.6,47408.34,23503.15583529
287,1613174400,46300.0,48199.0,47408.34,47232.45,12020.8773325
288,1613260800,47100.13,49700.0,47240.75,48680.69,15146.55244091
289,1613347200,45768.46,49093.44,48667.23,47936.37,19432.15278111
290,1613433600,47051.22,50645.0,47935.66,49158.71,23053.20561135
291,1613520000,48942.87,52640.35,49141.43,52170.01,25675.171441
292,1613606400,50875.0,52549.99,52170.01,51601.73,15689.40275173
293,1613692800,50725.0,56370.05,51596.0,55983.56,27961.48197104
294,1613779200,54000.1,57563.57,55983.57,55923.52,22137.82194494
295,1613865600,55531.23,58367.0,55921.44,57489.16,13530.43444443
296,1613952000,46616.0,57577.69,57489.16,54142.13,49449.16575779
297,1614038400,44888.08,54206.22,54125.67,48899.99,72300.585728
298,1614124800,47002.0,51415.41,48899.99,49737.82,30732.14949499
299,1614211200,46700.0,52107.83,49737.81,47058.48,28011.20414657
300,1614297600,44150.0,48464.64,47063.9,46326.2,36048.6181927
301,1614384000,45055.0,48356.86,46319.79,46180.75,16290.28071728
302,1614470400,43016.0,46656.0,46169.92,45231.75,22745.60600179
303,1614556800,45042.13,49829.0,45231.74,49639.4,25068.25043716
304,1614643200,47075.11,50250.0,49635.3,48511.6,17063.56302004
305,1614729600,48161.75,52666.0,48502.18,50360.0,21301.47723933
306,1614816000,47502.0,51798.33,50370.33,48368.52,23386.97957577
307,1614902400,46219.32,49473.99,48370.97,48769.47,25468.18029576
308,1614988800,47077.0,49210.0,48766.01,48909.84,11877.83755909
309,1615075200,48909.83,51459.0,48909.84,50978.61,13965.15473114
310,1615161600,49328.62,52425.0,50976.22,52415.23,18856.28684439
311,1615248000,51845.01,54936.0,52413.17,54916.38,21177.14953983
312,1615334400,53025.0,57402.14,54921.61,55890.69,28326.07770941
313,1615420800,54283.0,58113.0,55888.7,57815.47,24369.21216789
314,1615507200,55050.0,58065.92,57820.15,57225.91,21760.53824103
315,1615593600,56083.74,61788.45,57220.84,61178.5,22301.28588901
316,1615680000,58950.0,61680.0,61181.38,58972.7,13581.96759058
317,1615766400,54568.0,60601.07,58972.71,55636.15,31651.39184131
318,1615852800,53221.0,56970.0,55629.08,56927.11,24432.37878722
319,1615939200,54138.01,58996.38,56924.26,58925.54,22687.57433043
320,1616025600,56996.15,60100.0,58925.54,57644.95,21459.4962399
321,1616112000,56260.0,59461.99,57644.95,58039.66,16429.629743
322,1616198400,57827.97,59928.0,58026.91,58116.7,9725.28123717
323,1616284800,55543.89,58651.22,58126.34,57363.32,11841.63877891
324,1616371200,53739.5,58421.68,57377.29,54110.07,19512.15647151
325,1616457600,53000.0,55858.0,54111.49,54345.54,19221.75674
326,1616544000,51673.82,57209.97,54333.27,52276.16,23775.21362623
327,1616630400,50305.0,53238.0,52259.69,51325.01,29642.04415588
328,1616716800,51250.0,55125.13,51320.76,55072.44,17843.00738205
329,1616803200,53966.0,56640.0,55080.9,55856.53,11333.33349523
330,1616889600,54701.0,56587.08,55856.54,55778.82,9235.80302347
331,1616976000,54900.0,58400.0,55781.22,57613.48,17552.36885101
332,1617062400,57000.0,59397.48,57613.76,58786.46,15105.07669026
333,1617148800,56873.8,59800.0,58786.46,58800.0,17376.62672814
334,1617235200,57930.0,59474.94,58800.01,58726.48,11096.33004907
335,1617321600,58441.88,60055.02,58726.47,58981.04,10966.93017846
336,1617408000,56943.0,59752.0,58981.04,57094.34,8405.26400491
337,1617494400,56478.53,58500.0,57094.34,58215.94,6301.43187883
338,1617580800,56817.64,59251.76,58216.73,59123.02,9204.86323941
339,1617667200,57333.33,59475.0,59134.07,58019.98,10354.33014603
340,1617753600,55400.0,58630.0,58021.67,55955.75,17787.29445084
341,1617840000,55700.0,58152.0,55962.67,58083.1,8073.59731731
342,1617926400,57670.51,58869.69,58083.1,58092.68,8094.74629652
343,1618012800,57875.41,61218.97,58092.68,59778.6,12817.81106734
344,1618099200,59177.06,60658.89,59778.59,59985.26,7278.96516665
345,1618185600,59369.0,61199.0,59983.66,59839.82,11467.72752999
346,1618272000,59799.01,63774.39,59836.88,63588.22,17897.76603088
347,1618358400,61277.91,64899.0,63588.22,62971.8,22570.84113444
348,1618444800,62036.73,63831.82,62971.8,63229.04,11209.4505281
349,1618531200,60048.43,63604.34,63229.04,61427.27,19867.41322269
350,1618617600,59700.0,62572.48,61427.27,60058.86,10847.76785762
351,1618704000,51300.0,60437.97,60067.2,56274.41,36891.70959047
352,1618790400,54187.85,57600.0,56273.65,55696.83,16838.39171629
353,1618876800,53430.01,57111.0,55696.83,56499.29,18608.27983583
354,1618963200,53620.91,56810.56,56477.67,53800.86,15584.08398293
355,1619049600,50400.0,55469.98,53795.62,51701.59,30427.89153907
356,1619136000,47464.65,52130.58,51695.98,51187.27,38794.85818376
357,1619222400,48726.87,51260.61,51187.75,50089.15,11839.14355893
358,1619308800,47044.01,50591.38,50101.42,49121.0,14633.51206544
359,1619395200,48817.62,54400.0,49121.0,54053.6,18005.22399425
360,1619481600,53321.0,55509.39,54047.8,55069.62,13957.08649512
361,1619568000,53887.0,56476.17,55069.61,54894.03,16484.33677655
362,1619654400,52369.61,55226.86,54889.81,53580.0,14592.31688772
363,1619740800,53068.43,58075.01,53580.0,57798.77,16536.33288912
364,1619827200,57050.94,58550.0,57798.77,57859.28,10787.04933216
365,1619913600,56072.0,57972.26,57859.28,56625.2,7647.62578087
366,1620000000,56500.0,58986.0,56625.21,57212.73,15165.00648795
367,1620086400,53057.7,57247.24,57212.73,53241.92,23492.0586849
368,1620172800,52913.02,57980.86,53241.91,57515.69,22918.90458572
369,1620259200,55288.0,58400.0,57515.69,56440.66,18244.13605211
370,1620345600,55300.0,58735.95,56444.82,57380.39,18323.8958022
371,1620432000,56980.01,59559.84,57380.39,58958.05,15374.94442964
372,1620518400,56265.3,59300.52,58958.06,58312.57,17169.72318523
373,1620604800,53600.0,59592.2,58313.84,55866.41,24647.23540718
374,1620691200,54511.48,56962.07,55866.38,56753.19,15446.63591676
375,1620777600,48500.0,58041.0,56753.19,49498.77,29660.84273553
376,1620864000,46000.0,52500.0,49498.76,49690.11,42250.08740789
377,1620950400,48895.0,51569.56,49682.28,49893.48,21987.79362448
378,1621036800,46573.0,50730.58,49893.48,46775.51,21936.11454712
379,1621123200,43825.0,49808.28,46771.01,46450.79,30655.33064729
380,1621209600,42101.0,46646.15,46450.78,43580.5,43660.22208427
381,1621296000,42300.0,45851.0,43571.89,42857.15,28210.30024018
382,1621382400,30000.0,43591.7,42865.05,36731.75,109537.24233282
383,1621468800,35000.0,42605.0,36735.44,40623.33,51445.79735691
384,1621555200,33501.54,42275.99,40623.24,37340.77,55961.90006046
385,1621641600,35257.52,38889.76,37333.09,37476.83,29239.02738254
386,1621728000,31111.0,38319.36,37476.84,34758.67,53433.30296532
387,1621814400,34407.17,39966.87,34758.88,38878.56,44419.45827713
388,1621900800,36481.26,39878.51,38874.53,38361.81,26107.55687287
389,1621987200,37837.36,40900.0,38361.81,39293.23,25107.68631485
390,1622073600,37191.99,40440.95,39293.23,38556.88,19390.89447264
391,1622160000,34688.0,38900.0,38556.88,35680.47,36231.72333985
392,1622246400,33650.86,37325.0,35680.48,34627.82,27999.15073256
393,1622332800,33333.0,36500.0,34627.81,35669.44,16038.94658082
394,1622419200,34183.0,37534.09,35669.44,37279.31,19527.11600162
395,1622505600,35669.14,37918.97,37276.23,36685.0,15713.10281689
396,1622592000,35920.0,38237.37,36684.99,37577.91,13952.35891376
397,1622678400,37184.88,39489.82,37581.83,39248.55,14325.7560692
398,1622764800,35593.22,39291.24,39248.54,36856.52,17917.63251152
399,1622851200,34832.17,37921.35,36856.53,35539.49,13654.69033381
400,1622937600,35258.0,36477.86,35539.97,35800.48,8184.50324318
401,1623024000,33333.0,36812.39,35800.48,33575.91,18997.71626987
402,1623110400,31004.95,34069.0,33567.26,33402.13,34937.55754915
403,1623196800,32408.53,37573.99,33402.13,37403.86,26040.89793254
404,1623283200,35800.0,38425.67,37404.75,36694.05,19853.81418911
405,1623369600,35944.0,37695.0,36694.91,37338.44,14142.19349961
406,1623456000,34635.47,37448.0,37340.08,35557.33,14516.54556279
407,1623542400,34780.57,39396.0,35557.32,39015.24,15748.96203951
408,1623628800,38744.83,41076.03,39015.24,40539.47,21916.84415956
409,1623715200,39510.98,41322.55,40537.93,40162.37,17020.70299457
410,1623801600,38105.0,40499.0,40158.06,38351.0,17238.57541183
